plate_no,ref,title,assigned_day,reason,slug
53,V653 / NA - 1439,"Old Point Comfort looking toward Illecillewaet Glacier, panorama 1906 (No.53) : [pan 2 of 2]",Jul (trip #9?),"Selkirks, separate from Yoho camp",wmcr-vaux-1n-v653-na-1439
54,V653 / NA - 1440,Stream going into the caves (No.54) 1906,?,,wmcr-vaux-1n-v653-na-1440
55,V653 / NA - 1441,Sir Donald & Illecillewaet Glacier from Natural Bridge (No.55) 1906,Jul (trip #9?),"Selkirks, separate from Yoho camp",wmcr-vaux-1n-v653-na-1441
56,V653 / NA - 1442,Looking out of the cave (No.56) 1906,?,,wmcr-vaux-1n-v653-na-1442
58,V653 / NA - 1443,Test picture of Asulkan Glacier (No.58) 1906,Jul (trip #9),Asulkan/Burgess/Summit Lake trip,wmcr-vaux-1n-v653-na-1443
59,V653 / NA - 1444,Test pictures of Illecillewaet Glacier (No.59) --1906,Jul (trip #9?),"Selkirks, separate from Yoho camp",wmcr-vaux-1n-v653-na-1444
60,V653 / NA - 1445,"Test picture, Glacier (No.60) 1906",Jul (trip #9?),Selkirks test plate,wmcr-vaux-1n-v653-na-1445
61,V653 / NA - 1446,Test pictures of Illecillewaet Glacier (No.61) --1906,Jul (trip #9?),"Selkirks, separate from Yoho camp",wmcr-vaux-1n-v653-na-1446
62,V653 / NA - 1447,Test pictures of Illecillewaet Glacier (No.62) --1906,Jul (trip #9?),"Selkirks, separate from Yoho camp",wmcr-vaux-1n-v653-na-1447
63,V653 / NA - 1448,"Panorama, head of Paradise Valley 1906 (No.63) : [pan 1 of 3]",Sep 28,trip #3 dated 9/28/06 (post-camp),wmcr-vaux-1n-v653-na-1448
64,V653 / NA - 1449,"Panorama, head of Paradise Valley 1906 (No.64) : [pan 2 of 3]",Sep 28,trip #3 dated 9/28/06 (post-camp),wmcr-vaux-1n-v653-na-1449
65,V653 / NA - 1450,"Panorama, head of Paradise Valley 1906 (No.65) : [pan 3 of 3]",Sep 28,trip #3 dated 9/28/06 (post-camp),wmcr-vaux-1n-v653-na-1450
66,V653 / NA - 1451,Hungabee from Paradise Valley (No.66) 1906,Sep 28,trip #3 dated 9/28/06 (post-camp),wmcr-vaux-1n-v653-na-1451
66,V653 / PS - 103,Hungabee from Paradise Valley (No.66),Sep 28,trip #3 dated 9/28/06 (post-camp),wmcr-vaux-1v-v653-ps-103
75,V653 / NA - 1460,On the Horseshoe Glacier (No.75) 1906,Sep 28,trip #3 dated 9/28/06 (post-camp),wmcr-vaux-1n-v653-na-1460
76,V653 / NA - 1461,On the Horseshoe Glacier (No.76) 1906,Sep 28,trip #3 dated 9/28/06 (post-camp),wmcr-vaux-1n-v653-na-1461
77,V653 / NA - 1462,"No.6 Temple, Hungabee, Aberdeen Group & Lefroy from entrance to Ptarmigan Valley (No.77) 1906",?,,wmcr-vaux-1n-v653-na-1462
77,V653 / PS - 96,"No.6, Temple, Hungabee, Aberdeen group & Lefroy from entrance to Ptarmigan Valley (No.77)",?,,wmcr-vaux-1v-v653-ps-096
78,V653 / NA - 1463,"No.6 Temple, Hungabee, Aberdeen Group & Lefroy from entrance to Ptarmigan Valley (No.78) 1906",?,,wmcr-vaux-1n-v653-na-1463
79,V653 / NA - 1464,"Panorama, Ptarmigan Lake & Mt. Douglas (poor) (No.79) 1906",?,,wmcr-vaux-1n-v653-na-1464
80,V653 / NA - 1465,"Panorama, (poor) Ptarmigan Lake & Mt. Douglass (No.80) 1906",?,,wmcr-vaux-1n-v653-na-1465
81,V653 / NA - 1466,Mt. Temple in cloud from near Ptarmigan Lake (No.81) 1906,?,,wmcr-vaux-1n-v653-na-1466
82,V653 / NA - 1467,Mt. Temple in cloud (poor) (No.82) 1906,?,,wmcr-vaux-1n-v653-na-1467
83,V653 / NA - 1468,"Lone Tree Lake & Mt. Richardson, panorama 1906 (No.83) : [pan 1 of 2]",?,,wmcr-vaux-1n-v653-na-1468
84,V653 / NA - 1469,"Lone Tree Lake & Mt. Richardson, panorama 1906 (No.84) : [pan 2 of 2]",?,,wmcr-vaux-1n-v653-na-1469
85,V653 / NA - 1470,"Panorama, Mt. Douglass & Lower Ptarmigan Lake (No.85) 1906",?,,wmcr-vaux-1n-v653-na-1470
86,V653 / NA - 1471,Mt. Douglass & Lower Ptarmigan Lake (No.86) 1906,?,,wmcr-vaux-1n-v653-na-1471
86,V653 / PS - 108,Mt. Douglass & Lower Ptarmigan Lake (No.86),?,,wmcr-vaux-1v-v653-ps-108
87,V653 / NA - 1472,"Storm Mtn, Upper Ptarmigan Lake & Ptarmigan Mtn to Bow Range, panorama 1906 (No.87) : [pan 1 of 2]",?,,wmcr-vaux-1n-v653-na-1472
87,V653 / PS - 106,"Storm Mtn., Upper Ptarmigan Lake & Ptarmigan Mtn. to Bow Range, panorama (No.87)",?,,wmcr-vaux-1v-v653-ps-106
88,V653 / PS - 105,"Storm Mountain, Upper Ptarmigan Lake & Ptarmigan Mtn. to Bow Range, panorama (No.88)",?,,wmcr-vaux-1v-v653-ps-105
88,V653 / NA - 1473,"Storm Mtn, Upper Ptarmigan Lake & Ptarmigan Mtn to Bow Range, panorama 1906 (No.88) : [pan 2 of 2]",?,,wmcr-vaux-1n-v653-na-1473
89,V653 / NA - 1474,"Mt. Richardson, Lone Tree & Cliff Lakes, & Little Pipestone Valley, panorama (No.89) 1906",1906 (unknown),"Little Pipestone trip, no Wheeler match",wmcr-vaux-1n-v653-na-1474
90,V653 / NA - 1475,"Mt. Richardson, Lone Tree & Cliff Lakes, & Little Pipestone Valley, panorama 1906 (No.90) : [pan 1 of 2]",1906 (unknown),"Little Pipestone trip, no Wheeler match",wmcr-vaux-1n-v653-na-1475
92,V653 / NA - 1477,Mt. Richardson 2nd Peak from camp on Little Pipestone (No.92) 1906,1906 (unknown),"Little Pipestone trip, no Wheeler match",wmcr-vaux-1n-v653-na-1477
92,V653 / NA - 1476,"Mt. Richardson, Lone Tree & Cliff Lakes, & Little Pipestone Valley, panorama 1906 (No.92) : [pan 2 of 2]",1906 (unknown),"Little Pipestone trip, no Wheeler match",wmcr-vaux-1n-v653-na-1476
93,V653 / NA - 1478,Mt. Molar from Little Pipestone (No.93) 1906,1906 (unknown),"Little Pipestone trip, no Wheeler match",wmcr-vaux-1n-v653-na-1478
94,V653 / NA - 1479,"South from Pipestone, panorama 1906 (No.94) : [pan 1 of 3]",1906 (unknown),"Little Pipestone trip, no Wheeler match",wmcr-vaux-1n-v653-na-1479
95,V653 / NA - 1480,"South from Pipestone, panorama 1906 (No.95) : [pan 2 of 3]",1906 (unknown),"Little Pipestone trip, no Wheeler match",wmcr-vaux-1n-v653-na-1480
96,V653 / NA - 1481,"South from Pipestone, panorama 1906 (No.96) : [pan 3 of 3]",1906 (unknown),"Little Pipestone trip, no Wheeler match",wmcr-vaux-1n-v653-na-1481
97,V653 / NA - 1482,Siffleur Valley looking north from Pipestone Pass 1906 (No.97),1906 (unknown),"Little Pipestone trip, no Wheeler match",wmcr-vaux-1n-v653-na-1482
98,V653 / NA - 1483,Siffleur Valley looking north from Pipestone Pass 1906 (No.98),1906 (unknown),"Little Pipestone trip, no Wheeler match",wmcr-vaux-1n-v653-na-1483
99,V653 / NA - 1484,Siffleur Valley looking north from Pipestone Pass 1906 (No.99),1906 (unknown),"Little Pipestone trip, no Wheeler match",wmcr-vaux-1n-v653-na-1484
100,V653 / NA - 1485,Siffleur Valley looking north from Pipestone Pass 1906 (No.100),1906 (unknown),"Little Pipestone trip, no Wheeler match",wmcr-vaux-1n-v653-na-1485
101,V653 / NA - 1486,Lake Louise Chalet (No.101) 1906,?,,wmcr-vaux-1n-v653-na-1486
102,V653 / NA - 1487,Lake Louise Chalet (No.102) 1906,?,,wmcr-vaux-1n-v653-na-1487
